file,surface_count,touch_count,max_nn_dist,mean_nn_dist,median_nn_dist,cov_0.005,cov_0.01,cov_0.02,cov_0.05
bottle__02876657__1071fa4cddb2da2fc8724d5673a063a6__models__model_normalized.npz,235000,1500000,0.26319269255076766,0.03177679335638069,0.006153614565756733,0.44753191489361704,0.5695021276595744,0.6305957446808511,0.756736170212766
bottle__02876657__109d55a137c042f5760315ac3bf2c13e__models__model_normalized.npz,235000,1500000,0.27605605051768506,0.012235186952475835,0.0023863957596936027,0.7271404255319149,0.796595744680851,0.853995744680851,0.9423531914893617
bottle__02876657__10dff3c43200a7a7119862dbccbaa609__models__model_normalized.npz,235000,1500000,0.2594311485437867,0.04939679758362915,0.020334619291702015,0.19052765957446807,0.3809574468085106,0.49747659574468084,0.6244936170212766
bottle__02876657__10f709cecfbb8d59c2536abb1e8e5eab__models__model_normalized.npz,235000,1500000,0.2778056997237277,0.04064689686235968,0.0097884882943268,0.4401531914893617,0.5018851063829787,0.5684085106382979,0.7181531914893617
bottle__02876657__114509277e76e413c8724d5673a063a6__models__model_normalized.npz,235000,1500000,0.1490784085865368,0.015477729970541544,0.002951731982101563,0.646663829787234,0.7143617021276596,0.7715914893617021,0.8869021276595744
bottle__02876657__11fc9827d6b467467d3aa3bae1f7b494__models__model_normalized.npz,235000,1500000,0.21405455073169877,0.023568337084261242,0.011595261814605056,0.37291063829787235,0.4856127659574468,0.5412255319148936,0.8793872340425531
bottle__02876657__1349b2169a97a0ff54e1b6f41fdd78a__models__model_normalized.npz,235000,1500000,0.18367471602114338,0.01645525181305326,0.0025321455584222446,0.685931914893617,0.742336170212766,0.7932127659574468,0.883536170212766
bottle__02876657__134c723696216addedee8d59893c8633__models__model_normalized.npz,235000,1500000,0.3054193463140703,0.04329672406636917,0.012165876822481322,0.411131914893617,0.48438297872340424,0.5503787234042553,0.699331914893617
bottle__02876657__13544f09512952bbc9273c10871e1c3d__models__model_normalized.npz,235000,1500000,0.1642632077860997,0.017630337164778867,0.0030891630196111007,0.6217191489361702,0.6911489361702128,0.7531659574468085,0.8683191489361702
bottle__02876657__13d991326c6e8b14fce33f1a52ee07f2__models__model_normalized.npz,235000,1500000,0.1336250059560178,0.019593814962601937,0.004674836650293058,0.5057404255319149,0.5654340425531915,0.6532042553191489,0.8536936170212766
