file,surface_count,touch_count,max_nn_dist,mean_nn_dist,median_nn_dist,cov_0.005,cov_0.01,cov_0.02,cov_0.05
bowl__02880940__12ddb18397a816c8948bef6886fb4ac__models__model_normalized.npz,235000,1500000,0.170514757503429,0.03460241379318049,0.006118276830376922,0.43281276595744683,0.6005489361702128,0.6609063829787234,0.7451872340425532
bowl__02880940__13e879cb517784a63a4b07a265cff347__models__model_normalized.npz,235000,1500000,0.22586889449877356,0.014217144936500446,0.00399807106799528,0.5963617021276596,0.7582723404255319,0.821063829787234,0.9130893617021276
bowl__02880940__154ab09c67b9d04fb4971a63df4b1d36__models__model_normalized.npz,235000,1500000,0.13173413078776533,0.02854733126635745,0.009248134572938022,0.3701829787234043,0.5084212765957447,0.5525659574468085,0.625927659574468
bowl__02880940__18529eba21e4be8b5cc4957a8e7226be__models__model_normalized.npz,235000,1500000,0.23716469960281328,0.012852729734392368,0.00194331037924784,0.8091531914893617,0.8463404255319149,0.868136170212766,0.9126510638297872
bowl__02880940__188281000adddc9977981b941eb4f5d1__models__model_normalized.npz,235000,1500000,0.2614482257002969,0.03649859566484482,0.008007314961221697,0.3881489361702128,0.5306255319148936,0.5958212765957447,0.7241404255319149
bowl__02880940__1b4d7803a3298f8477bdcb8816a3fac9__models__model_normalized.npz,235000,1500000,0.2529471741992837,0.05506572868135939,0.010620701456148837,0.3361872340425532,0.4930765957446808,0.5471489361702128,0.6243063829787234
bowl__02880940__1f910faf81555f8e664b3b9b23ddfcbc__models__model_normalized.npz,235000,1500000,0.2537980477602802,0.03833805204411256,0.015257078463103637,0.24799148936170212,0.43822978723404254,0.5626808510638298,0.6631021276595744
bowl__02880940__1fbb9f70d081630e638b4be15b07b442__models__model_normalized.npz,235000,1500000,0.1194216643924123,0.0032527910380475344,0.0020296963087408867,0.9335531914893617,0.9702042553191489,0.9800893617021277,0.9922297872340425
bowl__02880940__24907349b2323824664b3b9b23ddfcbc__models__model_normalized.npz,235000,1500000,0.18467192210993816,0.027224259747861797,0.027248735212768656,0.31745531914893615,0.4135063829787234,0.4498382978723404,0.8799063829787234
bowl__02880940__260545503087dc5186810055962d0a91__models__model_normalized.npz,235000,1500000,0.17507001525038834,0.0377751942295542,0.026563542670220402,0.24201702127659575,0.40638297872340423,0.4749404255319149,0.5725063829787234
bowl__02880940__292d2dda9923752f3e275dc4ab785b9f__models__model_normalized.npz,235000,1500000,0.32347340627205745,0.08897807983358026,0.0571945888196648,0.2563531914893617,0.3192553191489362,0.3609702127659574,0.4737787234042553
bowl__02880940__2a1e9b5c0cead676b8183a4a81361b94__models__model_normalized.npz,235000,1500000,0.23596490342091755,0.015183120275331478,0.0036142983966239405,0.6357446808510638,0.7735531914893617,0.8243957446808511,0.9024851063829787
bowl__02880940__2c1df84ec01cea4e525b133235812833__models__model_normalized.npz,235000,1500000,0.22005761608860586,0.037066141263582486,0.014881426924009972,0.2909489361702128,0.46102978723404253,0.5199106382978723,0.5984893617021276
bowl__02880940__2cfecc8ce6c7cd1f3497637ec59e0374__models__model_normalized.npz,235000,1500000,0.28623778315064735,0.02953407799857963,0.027588465157322297,0.29471063829787236,0.42452340425531915,0.46356170212765957,0.8417787234042553
bowl__02880940__2d2c419136447fe667964ba700cd97f5__models__model_normalized.npz,235000,1500000,0.26866007351017257,0.04629199115956573,0.007856367483005687,0.3637744680851064,0.5449021276595745,0.6073872340425532,0.6933234042553191
bowl__02880940__2e545ccae1cdc69d879b85bd5ada6e71__models__model_normalized.npz,235000,1500000,0.38558733543467666,0.052154502402742116,0.039987473118337925,0.18223829787234042,0.33090212765957444,0.40827659574468084,0.5469872340425532
bowl__02880940__2ffe06ee50ec1420adbe0813683fcfd0__models__model_normalized.npz,235000,1500000,0.15117193127776596,0.022934592288582013,0.0060260815371017285,0.4553829787234043,0.5699872340425531,0.633663829787234,0.8289446808510639
bowl__02880940__3152c7a0e8ee4356314eed4e88b74a21__models__model_normalized.npz,235000,1500000,0.19308085292819901,0.04492855142566277,0.01893772151915446,0.29479148936170213,0.44856170212765956,0.5040085106382979,0.5930510638297872
bowl__02880940__326c6280eee2bf74257e043ec9630f__models__model_normalized.npz,235000,1500000,0.19473857308966822,0.015566311505661942,0.005785236188135447,0.4628595744680851,0.5802808510638298,0.6401021276595744,0.9596297872340426
bowl__02880940__32f9c710e264388e2150a45ec52bcbd7__models__model_normalized.npz,235000,1500000,0.2171238607124401,0.0276249125934127,0.017378426155977872,0.32822978723404256,0.4531148936170213,0.5111702127659574,0.8601659574468085
bowl__02880940__34875f8448f98813a2c59a4d90e63212__models__model_normalized.npz,235000,1500000,0.23831858582503324,0.023629517291211495,0.006776337966749825,0.38962978723404257,0.5962042553191489,0.713940425531915,0.8657914893617021
bowl__02880940__381db800b87b5ff88616812464c86290__models__model_normalized.npz,235000,1500000,0.18268955394783995,0.04589248029432156,0.034187404318055566,0.2503659574468085,0.39882978723404255,0.45565106382978726,0.546268085106383
bowl__02880940__38d2122b2aa05f92e1b9b7b3765e2bea__models__model_normalized.npz,235000,1500000,0.36503047661256227,0.08046235279636935,0.058594244755682694,0.2292723404255319,0.29872765957446806,0.3467276595744681,0.4686297872340425
bowl__02880940__3a7737c7bb4a6194f60bf3def77dca62__models__model_normalized.npz,235000,1500000,0.23657374795433372,0.013843250396253903,0.003482604394865428,0.6523234042553191,0.7813063829787235,0.8340808510638298,0.9153148936170212
bowl__02880940__3bedfd655c45c6747bc26b16f550876f__models__model_normalized.npz,235000,1500000,0.1712678522703256,0.039852059322850644,0.014427946222762493,0.385331914893617,0.4838425531914894,0.5133021276595745,0.5601702127659575
bowl__02880940__3f56833e91054d2518e800f0d88f9019__models__model_normalized.npz,235000,1500000,0.30175222736524593,0.044813425790136335,0.007014271274144513,0.3928936170212766,0.5690255319148936,0.6324382978723404,0.7190595744680851
