file,surface_count,touch_count,max_nn_dist,mean_nn_dist,median_nn_dist,cov_0.005,cov_0.01,cov_0.02,cov_0.05
guitar__03467517__133ebdf2ca7bf4b81d4e8021f58beea0__models__model_normalized.npz,235000,1500000,0.13275525923295164,0.011097276034314568,0.002713213187935987,0.6872085106382979,0.7586553191489361,0.8332425531914893,0.9407489361702127
guitar__03467517__168cf0014eb65a479c3e3fc875294773__models__model_normalized.npz,235000,1500000,0.07042266511348404,0.005466685179611455,0.0015206251951645562,0.8045617021276595,0.8534808510638298,0.9096382978723404,0.9926297872340426
guitar__03467517__16916a50a064304bf6ed0b697979412e__models__model_normalized.npz,235000,1500000,0.07993589805798368,0.010718717427733185,0.0029523305820338976,0.5773276595744681,0.665327659574468,0.7652042553191489,0.9907914893617021
guitar__03467517__16afb97fe3882483cf45555a18e7351a__models__model_normalized.npz,235000,1500000,0.10695261517001872,0.009895340320966792,0.0033256582145380987,0.6132553191489362,0.7159787234042553,0.8372595744680851,0.9726212765957447
guitar__03467517__1758c5cbffc7f6634236d3c4918b91c6__models__model_normalized.npz,235000,1500000,0.08718420031456298,0.006286454718023605,0.0017704728928185087,0.8039531914893617,0.8496468085106383,0.896072340425532,0.9826468085106383
guitar__03467517__1817e920fd92124fcc1908493f380315__models__model_normalized.npz,235000,1500000,0.04526479015067366,0.006113826537002432,0.0017668926605403099,0.749868085106383,0.812063829787234,0.8878127659574468,1.0
guitar__03467517__18da35f3835f75bffb5c1b0f759e2bc1__models__model_normalized.npz,235000,1500000,0.08439916576411027,0.00989118131935514,0.00411758354617023,0.5407829787234043,0.7083446808510638,0.8746936170212766,0.9734723404255319
guitar__03467517__1ae3b398cea3823b49c212147ab9c105__models__model_normalized.npz,235000,1500000,0.12819130079712335,0.007890159217858711,0.0019789222522230794,0.761131914893617,0.8134297872340426,0.8706893617021276,0.9726851063829787
guitar__03467517__1b1c78a14841a4ce3630a3b40acf3144__models__model_normalized.npz,235000,1500000,0.08361103216235262,0.005653174052280766,0.001932674822840962,0.8056808510638298,0.8621021276595745,0.9131361702127659,0.9844170212765957
guitar__03467517__1edaab172fcc23ab5238dc5d98b43ffd__models__model_normalized.npz,235000,1500000,0.09354637119640591,0.00626926617484267,0.0019137312188291268,0.8063659574468085,0.8549829787234042,0.9003446808510638,0.9838765957446809
guitar__03467517__2105dd5dd6a40240142846fc3207334e__models__model_normalized.npz,235000,1500000,0.0970478120072607,0.008431455424776873,0.002164459573236053,0.6990723404255319,0.7595148936170213,0.8335659574468085,0.9753404255319149
guitar__03467517__222b705a80d75a4343b0b12983b9982__models__model_normalized.npz,235000,1500000,0.12058506188314909,0.014276132459883522,0.0025605940053165174,0.6421617021276596,0.703268085106383,0.7758765957446808,0.9052255319148936
guitar__03467517__22760e2b45e67d724d88968940783b69__models__model_normalized.npz,235000,1500000,0.10598170276919312,0.011231514895636228,0.00238862951480172,0.6932595744680851,0.7569489361702127,0.8159744680851064,0.9283531914893617
guitar__03467517__22b29fbbf99e9cbde1c6f6ff6004a051__models__model_normalized.npz,235000,1500000,0.10344844793518868,0.006296062886572241,0.0016066700060392595,0.7839574468085106,0.8257148936170213,0.876195744680851,0.9790851063829787
guitar__03467517__23d3e315f1364475be98a7e88127164e__models__model_normalized.npz,235000,1500000,0.0994116647237523,0.007784835158527945,0.002029274320907542,0.7415404255319149,0.8047872340425531,0.8657744680851064,0.9761063829787234
guitar__03467517__272d3447422afbc05389be63fb12cc36__models__model_normalized.npz,235000,1500000,0.09985562451509301,0.007214036607035163,0.0017492607330018457,0.746068085106383,0.8127914893617021,0.8711787234042553,0.976404255319149
guitar__03467517__28c3903b29f6b38363e148e250c0340d__models__model_normalized.npz,235000,1500000,0.09576973172482355,0.014893255089093832,0.005457079743191913,0.4859872340425532,0.5939446808510638,0.7354765957446808,0.9009744680851064
guitar__03467517__2a5254c39a3ada8ab7f9d2da6fc61cf__models__model_normalized.npz,235000,1500000,0.09692465213824202,0.006415214435848769,0.0028176089526034944,0.7595787234042554,0.8581659574468085,0.9068595744680851,0.9910851063829788
guitar__03467517__2b394d7e325c0ff5f48dc85fa744ff46__models__model_normalized.npz,235000,1500000,0.062408922784661924,0.009514912294626745,0.00328785754652213,0.5848042553191489,0.6784085106382979,0.8342085106382978,0.9977702127659575
guitar__03467517__2c491c5718322fc4849457db85ec22c6__models__model_normalized.npz,235000,1500000,0.11779275890565671,0.008407152491414995,0.0019128037484975754,0.7625191489361702,0.8058,0.851336170212766,0.9638936170212766
guitar__03467517__2e51f4d434d7f760e7447543ac4d4049__models__model_normalized.npz,235000,1500000,0.10572052280094853,0.014609315609816818,0.013161002485992607,0.37743404255319146,0.4716085106382979,0.824,0.9636936170212766
guitar__03467517__2eba922263fc1580cc010a80df5d3c87__models__model_normalized.npz,235000,1500000,0.09848444348709846,0.009836473640699563,0.0023739931434225182,0.6750680851063829,0.740468085106383,0.8198893617021277,0.959795744680851
guitar__03467517__30a1f256b5b691f09540ada8114b63aa__models__model_normalized.npz,235000,1500000,0.09707674441763113,0.007169313203894186,0.0029154060887704118,0.6828127659574468,0.8283531914893617,0.8948212765957447,0.9887021276595744
guitar__03467517__32fed3850b26c82b1c91d5bf986c0423__models__model_normalized.npz,235000,1500000,0.07656924823255759,0.007865031033118357,0.0036223730828911574,0.6131744680851063,0.7789106382978723,0.8919531914893617,0.9904595744680851
guitar__03467517__375ef808d47a832684097c4f3f6953fd__models__model_normalized.npz,235000,1500000,0.09832835470163676,0.017489595915284928,0.002685287711923616,0.6037148936170212,0.6537957446808511,0.7166893617021277,0.8527574468085106
guitar__03467517__37e72e4a18a4d0ede2e4961161b75547__models__model_normalized.npz,235000,1500000,0.11645194388086345,0.007786903154846175,0.0019394423737412684,0.7681148936170212,0.8192510638297872,0.8676170212765958,0.975404255319149
