file,surface_count,touch_count,max_nn_dist,mean_nn_dist,median_nn_dist,cov_0.005,cov_0.01,cov_0.02,cov_0.05
jar__03593526__1168c9e9db2c1c5066639e628d6519b6__models__model_normalized.npz,235000,1500000,0.5509693529628739,0.10272146850566576,0.01850578622300353,0.16308085106382977,0.34393617021276596,0.5268,0.6548127659574469
jar__03593526__117843347cde5b502b18a5129db1b7d0__models__model_normalized.npz,235000,1500000,0.1805835146988168,0.015765007128857204,0.00411039275144048,0.5772893617021276,0.7096893617021277,0.7688765957446808,0.8937489361702128
jar__03593526__1252b0fc818969ebca2ed12df13a916a__models__model_normalized.npz,235000,1500000,0.3823493333510821,0.0215495392560902,0.0038237303923380605,0.6125446808510638,0.7527276595744681,0.8066085106382979,0.8931234042553191
jar__03593526__12d643221a3edaa4ab361b6be63163da__models__model_normalized.npz,235000,1500000,0.2575344963017309,0.06030888971461303,0.04663015039474008,0.16602127659574467,0.2608340425531915,0.31049787234042553,0.6060382978723404
jar__03593526__12ec19e85b31e274725f67267e31c89__models__model_normalized.npz,235000,1500000,0.341707889132245,0.07096609716985727,0.05760932580361851,0.15624255319148936,0.2178595744680851,0.26090638297872343,0.3885531914893617
jar__03593526__133dc38c1316d9515dc3653f8341633a__models__model_normalized.npz,235000,1500000,0.3861302938899977,0.03713841397122789,0.026588374089046244,0.22022978723404255,0.372,0.43346808510638296,0.7917829787234043
jar__03593526__146f6702601f9c5d8bb41b82b15c6ac__models__model_normalized.npz,235000,1500000,0.2390894891331631,0.05013733245720211,0.04309710903126371,0.19219148936170213,0.34928936170212765,0.4206,0.5197872340425532
jar__03593526__14ac8d866a8ea8b398910e50f05b8001__models__model_normalized.npz,235000,1500000,0.21265318382142492,0.03028087724836538,0.028762169452515522,0.2610723404255319,0.3771829787234043,0.4223787234042553,0.8459531914893617
jar__03593526__151a80ff1ad2fe11c8c4893204f16cf__models__model_normalized.npz,235000,1500000,0.4781156723743332,0.07384943549164336,0.0467336683712253,0.27256170212765957,0.3357787234042553,0.38435744680851064,0.5125702127659575
jar__03593526__1654250bf1bc5a0131fef20bb2ae787e__models__model_normalized.npz,235000,1500000,0.21181584002390633,0.028843350876417387,0.019158498287695284,0.2922,0.41872765957446806,0.5163319148936171,0.8342170212765957
jar__03593526__1666ce5ced647ed25d878ba9ec3c0d6a__models__model_normalized.npz,235000,1500000,0.18794740557424988,0.02838690288019033,0.032916998196709915,0.25500425531914894,0.385468085106383,0.4341191489361702,0.8714936170212766
