file,surface_count,touch_count,max_nn_dist,mean_nn_dist,median_nn_dist,cov_0.005,cov_0.01,cov_0.02,cov_0.05
bathtub__02808440__1036dbcbbd36fbf385d4c5933ce331fd__models__model_normalized.npz,235000,1500000,0.39323548829318966,0.022524002347104135,0.006182066333013502,0.4036510638297872,0.6740255319148937,0.7791617021276596,0.8726808510638298
bathtub__02808440__10912c73b7290f963321831d2245cf06__models__model_normalized.npz,235000,1500000,0.17062024282275348,0.02373646647669894,0.007865932248252777,0.3614553191489362,0.5467021276595745,0.6450553191489362,0.8290936170212766
bathtub__02808440__10caa8d340fa0fddfcd4910413c446d9__models__model_normalized.npz,235000,1500000,0.1597379850890203,0.020789293341859045,0.004354151571478473,0.5558595744680851,0.7099191489361703,0.7686936170212766,0.8374127659574468
bathtub__02808440__10d8ddc79b74d150d9b53420a5458c53__models__model_normalized.npz,235000,1500000,0.05299981712532425,0.004408559955282244,0.0026944429830752636,0.8054042553191489,0.9141404255319149,0.9658723404255319,0.9999702127659574
bathtub__02808440__10e41094453d1c6d4c62bee40dcdc539__models__model_normalized.npz,235000,1500000,0.47022771286042775,0.045990473036867124,0.03000375609483067,0.12278723404255319,0.26249787234042554,0.3612595744680851,0.7548340425531915
bathtub__02808440__11955ce486dd9b6954d7082b34825ef0__models__model_normalized.npz,235000,1500000,0.08464399917957852,0.011303183721057887,0.006805708979227716,0.41580425531914894,0.5611617021276596,0.8841021276595745,0.970131914893617
bathtub__02808440__11d2f19d44c24eb53321831d2245cf06__models__model_normalized.npz,235000,1500000,0.11895585450469212,0.02026732373493386,0.010980435309734651,0.2833489361702128,0.48313617021276595,0.5902340425531915,0.9115148936170213
bathtub__02808440__11fccf143d5209c71c17aef130ed6213__models__model_normalized.npz,235000,1500000,0.10503802764673338,0.024213919185139314,0.007937798019810701,0.40288936170212764,0.5208893617021276,0.5627744680851063,0.7301404255319149
bathtub__02808440__124807f04a76c484c62bee40dcdc539__models__model_normalized.npz,235000,1500000,0.43879938216542963,0.04573401495533287,0.02724554498090521,0.12523829787234042,0.2696340425531915,0.3624085106382979,0.7584
bathtub__02808440__125720e2aad7cbae412ac8cccf0c180f__models__model_normalized.npz,235000,1500000,0.14382374652657196,0.02405405217683079,0.013758011439614491,0.3874723404255319,0.47815744680851063,0.5267574468085107,0.8631829787234042
bathtub__02808440__1257e60da04ab350b022c94235bc8601__models__model_normalized.npz,235000,1500000,0.26801598994133197,0.01315606729861296,0.005128324338179365,0.4873787234042553,0.7322255319148936,0.8319276595744681,0.9484127659574468
bathtub__02808440__12976a1c355efee1ae51c8fb67762055__models__model_normalized.npz,235000,1500000,0.27566984421463736,0.01498629868470155,0.004332618020018282,0.5649702127659575,0.7502212765957447,0.8309063829787234,0.9340936170212766
bathtub__02808440__129d84a2d2e5242a6b448b8aaebb705c__models__model_normalized.npz,235000,1500000,0.1454794220261741,0.020125166363054527,0.010006242933044883,0.4001787234042553,0.4999574468085106,0.6324510638297872,0.9251574468085106
bathtub__02808440__12aae2c1b46580c48e48489883d168e7__models__model_normalized.npz,235000,1500000,0.21361764904389072,0.041967946597263835,0.021618717816601032,0.322468085106383,0.4149063829787234,0.4898510638297872,0.6375021276595745
bathtub__02808440__12e0842f9f1c8cf02c3aeda648e0cc4f__models__model_normalized.npz,235000,1500000,0.1608317430543455,0.02686613759952315,0.006930934344037306,0.384668085106383,0.5723872340425532,0.6419702127659574,0.7360212765957447
bathtub__02808440__1302d8860c7bd1e17f53f1372963d362__models__model_normalized.npz,235000,1500000,0.22220386118527616,0.026959128081107727,0.0055523046004228895,0.4608255319148936,0.6250042553191489,0.6821957446808511,0.7695063829787234
bathtub__02808440__1384585a48232ade2b4641ae88b2ff3f__models__model_normalized.npz,235000,1500000,0.272967391662487,0.04737311579090734,0.005485469653665886,0.4673148936170213,0.6135191489361702,0.6477191489361702,0.6959659574468086
bathtub__02808440__13b3f78fcad66e2df6da603e92626bf9__models__model_normalized.npz,235000,1500000,0.26117555221754973,0.03229961648482732,0.005634817778096246,0.45415319148936173,0.6296851063829787,0.6847787234042553,0.7422
