file,surface_count,touch_count,max_nn_dist,mean_nn_dist,median_nn_dist,cov_0.005,cov_0.01,cov_0.02,cov_0.05
bowl__02880940__11547e8d8f143557525b133235812833__models__model_normalized.npz,235000,1500000,0.127903339578641,0.022170908365379466,0.015439176688987614,0.37253191489361703,0.4770553191489362,0.5150468085106383,0.9669319148936171
bowl__02880940__12ddb18397a816c8948bef6886fb4ac__models__model_normalized.npz,235000,1500000,0.1642319148397464,0.02867486975237703,0.004830960043096291,0.5157787234042553,0.7065914893617021,0.756604255319149,0.7984595744680851
bowl__02880940__13e879cb517784a63a4b07a265cff347__models__model_normalized.npz,235000,1500000,0.1193260886972388,0.005479925652504926,0.0035075341785932336,0.7111829787234043,0.9159702127659575,0.9567063829787235,0.9918893617021277
bowl__02880940__154ab09c67b9d04fb4971a63df4b1d36__models__model_normalized.npz,235000,1500000,0.08991867691992617,0.02630928908626654,0.007345517630114954,0.3865021276595745,0.5463234042553191,0.5897531914893617,0.6502468085106383
bowl__02880940__18529eba21e4be8b5cc4957a8e7226be__models__model_normalized.npz,235000,1500000,0.04711119329299662,0.0026046062783364903,0.001912092432509257,0.9491191489361702,0.9737106382978723,0.9867531914893617,1.0
bowl__02880940__188281000adddc9977981b941eb4f5d1__models__model_normalized.npz,235000,1500000,0.20562498797533038,0.025654728333079278,0.005694618665790973,0.44211063829787234,0.670063829787234,0.7357659574468085,0.8192851063829787
bowl__02880940__1b4d7803a3298f8477bdcb8816a3fac9__models__model_normalized.npz,235000,1500000,0.17534378856333427,0.043865204460634924,0.007035111754587046,0.35831914893617023,0.5980851063829787,0.6614297872340426,0.716995744680851
bowl__02880940__1f910faf81555f8e664b3b9b23ddfcbc__models__model_normalized.npz,235000,1500000,0.18315065748726653,0.027728261931721232,0.008698842116412326,0.27828936170212765,0.5456382978723404,0.6770936170212766,0.7854212765957447
bowl__02880940__1fbb9f70d081630e638b4be15b07b442__models__model_normalized.npz,235000,1500000,0.09942270601872298,0.003916034369066353,0.002633644171112989,0.8786723404255319,0.9603872340425532,0.9753659574468085,0.9935276595744681
bowl__02880940__24907349b2323824664b3b9b23ddfcbc__models__model_normalized.npz,235000,1500000,0.9064388825221074,0.033738993778004545,0.011360626263136997,0.36481702127659577,0.4943531914893617,0.5141063829787234,0.9516468085106383
bowl__02880940__260545503087dc5186810055962d0a91__models__model_normalized.npz,235000,1500000,0.13937909915003907,0.032385601058166305,0.01239338718235796,0.26510212765957447,0.468736170212766,0.5391617021276596,0.6173872340425532
bowl__02880940__292d2dda9923752f3e275dc4ab785b9f__models__model_normalized.npz,235000,1500000,0.28130504924756783,0.0663987720910642,0.011468318064559982,0.34918297872340426,0.48703829787234043,0.5514595744680851,0.6653489361702127
bowl__02880940__2a1e9b5c0cead676b8183a4a81361b94__models__model_normalized.npz,235000,1500000,0.06853098728928918,0.0038445103171822533,0.0029558819254729835,0.8184978723404255,0.9600255319148936,0.984331914893617,0.9994085106382978
bowl__02880940__2c1df84ec01cea4e525b133235812833__models__model_normalized.npz,235000,1500000,0.14540110389530997,0.028658643611854107,0.012621510574154815,0.2440595744680851,0.4612,0.5399617021276596,0.6155489361702128
bowl__02880940__2cfecc8ce6c7cd1f3497637ec59e0374__models__model_normalized.npz,235000,1500000,0.6240053391610543,0.07551103717279917,0.02824349328977442,0.22528085106382978,0.35668936170212767,0.38620851063829786,0.782331914893617
bowl__02880940__2d2c419136447fe667964ba700cd97f5__models__model_normalized.npz,235000,1500000,0.26296601988594803,0.03670567921434139,0.006694463035042633,0.3658808510638298,0.6344851063829787,0.7042382978723404,0.7739063829787234
bowl__02880940__2e545ccae1cdc69d879b85bd5ada6e71__models__model_normalized.npz,235000,1500000,0.24204618481260382,0.039118784804523354,0.018235849874686624,0.20411063829787235,0.4095063829787234,0.5113531914893616,0.646131914893617
bowl__02880940__2ffe06ee50ec1420adbe0813683fcfd0__models__model_normalized.npz,235000,1500000,0.11835902180008773,0.01591656421545569,0.004522421016750864,0.537468085106383,0.6716595744680851,0.7292553191489362,0.9010340425531915
