file,surface_count,touch_count,max_nn_dist,mean_nn_dist,median_nn_dist,cov_0.005,cov_0.01,cov_0.02,cov_0.05
02942699__02942699__1298634053ad50d36d07c55cf995503e__models__model_normalized.npz,235000,1500000,0.22099780039221098,0.016495633774904008,0.0037101612361996076,0.5829148936170213,0.6728085106382978,0.7536212765957446,0.8964
02942699__02942699__147183af1ba4e97b8a94168388287ad5__models__model_normalized.npz,235000,1500000,0.3526195643612954,0.026689275778439995,0.0057942371076930965,0.45712340425531917,0.5945489361702128,0.6865106382978723,0.8393404255319149
02942699__02942699__15e72ce7a8a328d1fd9cfa6c7f5305bc__models__model_normalized.npz,235000,1500000,0.08662981665764038,0.009362328466718282,0.004366358781254996,0.5658085106382978,0.7734468085106383,0.8650553191489362,0.969868085106383
02942699__02942699__17a010f0ade4d1fd83a3e53900c6cbba__models__model_normalized.npz,235000,1500000,0.37952021357904747,0.04413033269560419,0.013126539999770842,0.27836595744680853,0.4542,0.5805914893617021,0.7287872340425532
02942699__02942699__1967344f80da29618d342172201b8d8c__models__model_normalized.npz,235000,1500000,0.28245946628098495,0.02474717537773667,0.0068173785022647496,0.3876425531914894,0.5923234042553192,0.6894297872340426,0.8430936170212766
02942699__02942699__1ab3abb5c090d9b68e940c4e64a94e1e__models__model_normalized.npz,235000,1500000,0.21978680822540436,0.015094330415797476,0.004366979249135122,0.5522340425531915,0.7019276595744681,0.780004255319149,0.9302638297872341
02942699__02942699__1cc93f96ad5e16a85d3f270c1c35f1c7__models__model_normalized.npz,235000,1500000,0.21786756669785154,0.01983109475939804,0.0028141319762728942,0.7208851063829788,0.7792085106382979,0.8031617021276596,0.8470042553191489
02942699__02942699__2153bc743019671ae60635d9e388f801__models__model_normalized.npz,235000,1500000,0.20450043453186256,0.022661303608017727,0.0056265082877730525,0.45960425531914895,0.6194723404255319,0.7021489361702128,0.8356468085106383
02942699__02942699__21f65f53f74f1b58de8982fc28ddacc3__models__model_normalized.npz,235000,1500000,0.4459585029895743,0.08137589620596232,0.054620230969426205,0.1070936170212766,0.20391489361702128,0.2763617021276596,0.4718851063829787
02942699__02942699__22217d5660444eeeca93934e5f39869__models__model_normalized.npz,235000,1500000,0.39060563079933197,0.06560944824344107,0.0418960685788358,0.17393617021276594,0.3236723404255319,0.3961148936170213,0.5326
02942699__02942699__235a6dd25c0a6f7b66f19f26ac490096__models__model_normalized.npz,235000,1500000,0.17469962159897034,0.013669543141497336,0.0049463522336216596,0.504463829787234,0.689063829787234,0.7861276595744681,0.9323063829787234
02942699__02942699__2693df58698a2ca29c723bc28575d785__models__model_normalized.npz,235000,1500000,0.21303364838448915,0.01403600914981201,0.00501288500960179,0.4987659574468085,0.7255659574468085,0.8188085106382978,0.9300893617021276
02942699__02942699__290abe056b205c08240c46d333a693f__models__model_normalized.npz,235000,1500000,0.281619377817086,0.028274743039628732,0.005745372127825176,0.45308936170212766,0.6072255319148936,0.681,0.813131914893617
02942699__02942699__2c0b4e318766e01723cd81bf29b64a1__models__model_normalized.npz,235000,1500000,0.2192963322718538,0.028817625453143845,0.012581833015677099,0.30313617021276595,0.45816170212765955,0.5846553191489362,0.7875617021276595
02942699__02942699__2fc6168fba3ef6953ada8db96f6d95a3__models__model_normalized.npz,235000,1500000,0.1554154219204782,0.015175746948836357,0.004115160851830127,0.5683446808510638,0.6971021276595745,0.7872510638297873,0.9087148936170213
02942699__02942699__3019eea689e5d9c1fb045022c5d3b1e2__models__model_normalized.npz,235000,1500000,0.37311888507391305,0.054392944280733435,0.02998100324559095,0.22045531914893618,0.3586,0.4424808510638298,0.6608170212765957
02942699__02942699__3175f1c1d0cca3c6901887a0237c0ac2__models__model_normalized.npz,235000,1500000,0.3105541028443822,0.026145455277555005,0.008602046518483767,0.32375744680851065,0.5334510638297872,0.6492255319148936,0.8393957446808511
02942699__02942699__317a7ea24e661ce3bfc146552c7aa5d2__models__model_normalized.npz,235000,1500000,0.318970836860047,0.05157207444849728,0.017843544069363008,0.22578297872340425,0.41248936170212763,0.516131914893617,0.6853106382978723
02942699__02942699__39419e462f08dcbdc98cccf0d0f53d7__models__model_normalized.npz,235000,1500000,0.2174856458686495,0.035671501254040006,0.019343865303802894,0.29446382978723407,0.43362978723404255,0.5052127659574468,0.6593531914893617
02942699__02942699__3b56239e45828d2bb4521a835b1946c8__models__model_normalized.npz,235000,1500000,0.29768282640952964,0.009010143249687333,0.002030991089967668,0.8137531914893616,0.8604851063829787,0.8988936170212766,0.9588468085106383
02942699__02942699__3b5838e660e2eee27f85a81aa54b70ae__models__model_normalized.npz,235000,1500000,0.19673417496393122,0.024840934288784075,0.006983963066520957,0.3924936170212766,0.5715531914893617,0.6763744680851064,0.8311063829787234
02942699__02942699__3d18881b51009a7a8ff43d2d38ae15e1__models__model_normalized.npz,235000,1500000,0.437971946911835,0.05161178093527327,0.023803514364804358,0.1693191489361702,0.3185191489361702,0.4147531914893617,0.6775531914893617
02942699__02942699__3d81cebaa1226e9329fdbaf17f41d872__models__model_normalized.npz,235000,1500000,0.20298723344178962,0.030052667713556646,0.02058145351416219,0.2480212765957447,0.3590127659574468,0.4097446808510638,0.8042638297872341
02942699__02942699__416ce9adf7ad40f4959c1c3d740c4f1__models__model_normalized.npz,235000,1500000,0.23614187153815622,0.030406437966003046,0.010924630679455169,0.3331148936170213,0.48509361702127657,0.5967191489361702,0.8193234042553191
02942699__02942699__45b01c604426a0a9c5c10e0ebb47766c__models__model_normalized.npz,235000,1500000,0.7533349472277069,0.07727268495141244,0.007413138979709224,0.4157276595744681,0.5328170212765957,0.5886553191489362,0.6667574468085107
02942699__02942699__46c09085e451de8fc3c192db90697d8c__models__model_normalized.npz,235000,1500000,0.26930019400811733,0.03604154724096017,0.01707834348358482,0.2112808510638298,0.39817446808510637,0.5274936170212766,0.7662
02942699__02942699__4700873107186c6e2203f435e9e6785__models__model_normalized.npz,235000,1500000,0.2983698863179446,0.03995919717261768,0.009302334367878518,0.35008510638297874,0.5103574468085106,0.5952765957446808,0.7357702127659574
02942699__02942699__483c387d6886e603314b44839465ec00__models__model_normalized.npz,235000,1500000,0.14574331725471562,0.01238178751566032,0.004999253107794874,0.5000808510638298,0.7124170212765958,0.8200808510638298,0.9490808510638298
02942699__02942699__4852ee95e7bd8556c60396a717ba6c7e__models__model_normalized.npz,235000,1500000,0.13060687322674439,0.00866222638198757,0.004336081172050189,0.5749617021276596,0.8053531914893617,0.8922978723404256,0.9762595744680851
02942699__02942699__4cd861035c740db5a33f3afcb8763f26__models__model_normalized.npz,235000,1500000,0.20838013326162633,0.028069806975917648,0.010596180608420405,0.34242978723404255,0.4919702127659574,0.5950425531914894,0.8068553191489362
